Water body name,Water body description,Water body type,Year added to List,Basin,AUID,Use Class,County,HUC 8,Watershed name,Partial tribal designation,Affected designated use,Pollutant or stressor,TMDL target completion year,EPA category,Mercury TMDL region,Year TMDL plan approved,TMDL ID,AUID previously listed,Changes since last List
Cedar River,Woodbury Cr to MN/IA border,Stream,1998,Cedar River,07080201-516,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Woodbury Cr to MN/IA border,Stream,2012,Cedar River,07080201-516,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,2023,5,,,,,
Cedar River,Woodbury Cr to MN/IA border,Stream,2012,Cedar River,07080201-516,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
County Ditch 16,Unnamed ditch to Shell Rock R,Stream,2020,Cedar River,07080202-508,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
County Ditch 16,Unnamed ditch to Shell Rock R,Stream,2020,Cedar River,07080202-508,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
County Ditch 65,Unnamed ditch to CD 63,Stream,2020,Cedar River,07080202-529,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
County Ditch 65,Unnamed ditch to CD 63,Stream,2020,Cedar River,07080202-529,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
County Ditch 66,Unnamed ditch to CD 9,Stream,2020,Cedar River,07080202-527,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
County Ditch 66,Unnamed ditch to CD 9,Stream,2020,Cedar River,07080202-527,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
County Ditch 8,Unnamed cr to Unnamed ditch,Stream,2020,Cedar River,07080201-584,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
County Ditch 8,Unnamed cr to Unnamed ditch,Stream,2020,Cedar River,07080201-584,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
County Ditch 9,Unnamed ditch to Unnamed ditch,Stream,2020,Cedar River,07080202-526,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
County Ditch 9,Unnamed ditch to Unnamed ditch,Stream,2020,Cedar River,07080202-526,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Dobbins Creek,"T103 R18W S36, east line to East Side Lk",Stream,2012,Cedar River,07080201-535,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Dobbins Creek,"T103 R18W S36, east line to East Side Lk",Stream,2006,Cedar River,07080201-535,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Dobbins Creek,East Side Lk to Cedar R,Stream,2006,Cedar River,07080201-537,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Dobbins Creek,East Side Lk to Cedar R,Stream,2006,Cedar River,07080201-537,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
East Side,Lake or Reservoir,Lake,1998,Cedar River,50-0002-00,"2B, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Fountain (East Bay),Lake or Reservoir,Lake,2012,Cedar River,24-0018-01,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2013,PRJ07770-001,,
Fountain (East Bay),Lake or Reservoir,Lake,2008,Cedar River,24-0018-01,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Fountain (North Bay),Lake or Reservoir,Lake,2012,Cedar River,24-0018-03,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2013,PRJ07770-001,,
Fountain (West Bay),Lake or Reservoir,Lake,2012,Cedar River,24-0018-02,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2013,PRJ07770-001,,
Fountain (West Bay),Lake or Reservoir,Lake,2008,Cedar River,24-0018-02,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Geneva,Lake or Reservoir,Lake,2012,Cedar River,24-0015-00,"2B, 3C",Freeborn,07080201,Cedar River,,Aquatic Recreation,Nutrients,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Judicial Ditch 24,Unnamed ditch to JD 24,Stream,2020,Cedar River,07080201-587,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Judicial Ditch 25,Unnamed ditch to Unnamed cr,Stream,2018,Cedar River,07080203-515,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Dissolved oxygen,2023,5,,,,,
Judicial Ditch 25,Unnamed ditch to Unnamed cr,Stream,2018,Cedar River,07080203-515,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Judicial Ditch 5,-92.983 43.724 to Cedar R,Stream,2020,Cedar River,07080201-623,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Dissolved oxygen,2023,5,,,,,
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Nutrients,2023,5,,,,,
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Recreation,Escherichia coli (E.coli),2023,5,,,,,
Little Cedar River,Headwaters to MN/IA border,Stream,2012,Cedar River,07080201-518,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
"Little Cedar River (Cedar River, Middle Fork)",Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-530,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
"Little Cedar River, Middle Fork",Westfield-Ripley Ditch to Unnamed cr,Stream,2012,Cedar River,07080201-549,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Mud Creek,Headwaters to Turtle Cr (JD 24),Stream,2020,Cedar River,07080201-528,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Mud Lake Creek/County Ditch 75,Unnamed cr to Woodbury Cr,Stream,2020,Cedar River,07080201-590,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Orchard Creek,"T101 R18W S5, north line to Cedar R",Stream,2006,Cedar River,07080201-539,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Orchard Creek,"T102 R18W S29, north line to T102 R18W S32, south line",Stream,2020,Cedar River,07080201-613,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Otter Creek,Headwaters to MN/IA border,Stream,2020,Cedar River,07080201-517,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Otter Creek,Headwaters to MN/IA border,Stream,2006,Cedar River,07080201-517,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Pickeral,Lake or Reservoir,Lake,2016,Cedar River,24-0025-00,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2018,PRJ07770-001,,
Pickeral,Lake or Reservoir,Lake,2008,Cedar River,24-0025-00,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Roberts Creek,Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-504,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Roberts Creek,Unnamed cr to Cedar R,Stream,2006,Cedar River,07080201-504,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Roberts Creek,Headwaters to Unnamed cr,Stream,2012,Cedar River,07080201-506,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Roberts Creek,Headwaters to Unnamed cr,Stream,2012,Cedar River,07080201-506,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Rose Creek,Headwaters to Cedar R,Stream,2012,Cedar River,07080201-522,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Rose Creek,Headwaters to Cedar R,Stream,2006,Cedar River,07080201-522,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Schwerin Creek,Headwaters to Rose Cr,Stream,2012,Cedar River,07080201-523,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2012,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2012,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Dissolved oxygen,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2012,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2016,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Nutrients,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2008,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,pH,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2002,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Turbidity,2023,5,,,,,
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,1994,Cedar River,07080202-501,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Fecal coliform,,4A,,2006,PRJ07742-001,,
State Line,Lake or Reservoir,Lake,2018,Cedar River,24-0030-00,"2B, 3C",Freeborn,07080203,Winnebago River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Steward Creek (County Ditch 23),Headwaters to Bear Lk,Stream,2018,Cedar River,07080203-504,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Steward Creek (County Ditch 23),Headwaters to Bear Lk,Stream,2018,Cedar River,07080203-504,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Dissolved oxygen,2023,5,,,,,
Turtle Creek,"T103 R20W S2, north line to T103 R18W S31, south line",Stream,2020,Cedar River,07080201-538,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Total suspended solids (TSS),2023,5,,,,,
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2012,Cedar River,07080201-540,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2012,Cedar River,07080201-540,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2006,Cedar River,07080201-540,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2006,Cedar River,07080201-540,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Unnamed creek,Unnamed cr to Little Cedar R,Stream,2012,Cedar River,07080201-519,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2012,Cedar River,07080201-520,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-533,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Unnamed creek,Unnamed cr to Cedar R,Stream,2006,Cedar River,07080201-533,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Unnamed creek,"Unnamed cr to T103 R17W S10, west line",Stream,2012,Cedar River,07080201-534,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,"Unnamed cr to T103 R17W S10, west line",Stream,2012,Cedar River,07080201-534,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Turtle Cr,Stream,2012,Cedar River,07080201-547,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,JD 24 to Turtle Cr,Stream,2020,Cedar River,07080201-572,"2Bg, 3C",Freeborn,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Otter Cr,Stream,2020,Cedar River,07080201-574,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-577,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Rose Cr,Stream,2012,Cedar River,07080201-583,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2012,Cedar River,07080201-593,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to Orchard Cr,Stream,2020,Cedar River,07080201-594,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Unnamed cr to MN/IA border,Stream,2020,Cedar River,07080201-596,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,-92.931 43.837 to Cedar R,Stream,2020,Cedar River,07080201-617,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,-92.931 43.837 to Cedar R,Stream,2020,Cedar River,07080201-617,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,-93.014 43.605 to Orchard Cr,Stream,2020,Cedar River,07080201-621,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Mud Lk to Fountain Lk,Stream,2020,Cedar River,07080202-516,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek,Mud Lk to Fountain Lk,Stream,2020,Cedar River,07080202-516,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,Mud Lk to Fountain Lk,Stream,2016,Cedar River,07080202-516,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Nutrients,2023,5,,,,,
Unnamed creek,Mud Lk to Fountain Lk,Stream,2010,Cedar River,07080202-516,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Turbidity,2023,5,,,,,
Unnamed creek,"T103 R22W S36, north line to Unnamed ditch",Stream,2020,Cedar River,07080202-531,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Unnamed creek,"T103 R22W S36, north line to Unnamed ditch",Stream,2012,Cedar River,07080202-531,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Escherichia coli (E.coli),2023,5,,,,,
Unnamed creek,JD 26 to MN/IA border,Stream,2018,Cedar River,07080203-509,"2Bg, 3C",Freeborn,07080203,Winnebago River,,Aquatic Life,Dissolved oxygen,2023,5,,,,,
"Unnamed creek (Cedar River, West Fork)",Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-591,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek (Woodson Creek),"T102 R18W S14, north line to Cedar R",Stream,2012,Cedar River,07080201-554,"1B, 2Ag, 3B",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Unnamed creek (Woodson Creek),"T102 R18W S14, north line to Cedar R",Stream,2012,Cedar River,07080201-554,"1B, 2Ag, 3B",Mower,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Wapsipinicon River,"-92.6732,  43.5073 to MN/IA border",Stream,2018,Cedar River,07080102-507,"2Bg, 3C",Mower,07080102,Upper Wapsipinicon River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Wapsipinicon River,"-92.6732,  43.5073 to MN/IA border",Stream,2018,Cedar River,07080102-507,"2Bg, 3C",Mower,07080102,Upper Wapsipinicon River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Wapsipinicon River,"-92.6732,  43.5073 to MN/IA border",Stream,2018,Cedar River,07080102-507,"2Bg, 3C",Mower,07080102,Upper Wapsipinicon River,,Aquatic Recreation,Escherichia coli (E.coli),2023,5,,,,,
White,Lake or Reservoir,Lake,2012,Cedar River,24-0024-00,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Nutrients,2023,5,,,,,
